答案1: 1'139/150
答案2: 138'31/34
答案3: 5734/55991
答案4: 46/52635
答案5: 1809'5/19
答案6: 67'35/38
答案7: 1'3957/7735
答案8: 91/200
答案9: 39
答案10: 30017/653127
答案11: 67
答案12: 144'9/836
答案13: 42'5/7
答案14: 63'1/217
答案15: 85'147/418
答案16: 25/1218
答案17: 45'21/71
答案18: 1/94
答案19: 5'1/15
答案20: 23'5/141
答案21: 64'26/27
答案22: 2'657/1040
答案23: 133'11/37
答案24: 6'31/47
答案25: 469'5/42
答案26: 32
答案27: 1957/4752
答案28: 5'629/1805
答案29: 106'359/790
答案30: 6/13
答案31: 1'78759/379610
答案32: 16687/30856
答案33: 68'82/85
答案34: 1'367/504
答案35: 11'71/149
答案36: 22'43/92
答案37: 4'1030/2537
答案38: 112
答案39: 8'16/55
答案40: 13'30/61
答案41: 19'1481/7665
答案42: 61'97/1173
答案43: 26'23/35
答案44: 1'14/23
答案45: 27/80
答案46: 75'5/6
答案47: 46'8/37
答案48: 3'83/165
答案49: 150
答案50: 53'319/333
答案51: 3'199/1680
答案52: 1339/1360
答案53: 1'674/901
答案54: 172'1/5
答案55: 154'757/992
答案56: 33'1/10
答案57: 24'191/490
答案58: 3375/7007
答案59: 3765'4/51
答案60: 2'11/2346
答案61: 114'12/17
答案62: 21'6071/8787
答案63: 151'49/460
答案64: 57'24/97
答案65: 7/57
答案66: 43'7/18
答案67: 3350'1/11
答案68: 136'52/83
答案69: 121'112/143
答案70: 123
答案71: 182'34/37
答案72: 44'46/609
答案73: 8/41
答案74: 52529/57684
答案75: 24'143/147
答案76: 173'8/11
答案77: 1'8/25
答案78: 60'25/36
答案79: 2543'17/65
答案80: 48'372/1127
答案81: 1'103/152
答案82: 3'85/396
答案83: 65'61/102
答案84: 16'3/88
答案85: 3'3/7
答案86: 1'37707/130480
答案87: 18'1508/1533
答案88: 220322/1339039
答案89: 18'935/3268
答案90: 42'79/132
答案91: 46
答案92: 46'13/40
答案93: 3360
答案94: 119'1/11
答案95: 1'980/1173
答案96: 42'650/2937
答案97: 33'2684/3827
答案98: 2'485/1248
答案99: 1'1787/2992
答案100: 137
